Evénement;Date/Heure de l'événement;Pari;Paris/Pronostics;Cotes Première;Cotes Dernière;Chiffre d'affaires;Stakes (FreeBet) Toutes Formules;Stakes (FreeBet) Simple uniquement;Mises en pourcentage Toutes Formules;Mises en pourcentage Simple uniquement;Prise de jeu;Liability Montant;Liability RU Montant;Exposure Montant;Exposure RU Montant;Payout;Alerte;Enjeux à Cotes Fixes Simples;Enjeux à Cotes Fixes R / O Last Leg;Mise en cours Cote;CA en %;CA Simple %;Liability Simple;Stakes Multiples;Expected Stake Distribution %;Stake Deviation %;Prises de jeu annulées;Mises annulées (Paris gratuits)
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;R.Bautista;13;13;1;51 (50);51 (50);36,73 %;43,35 %;2;-538;-538;606;;607;;1 [2];;;1 %;100 %;-540;;5 %;770 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;B.Paire;90;75;5;5 (0);5 (0);3,64 %;4,29 %;1;-306;-306;370;;375;;5 [1];;;7 %;100 %;-308;;1 %;397 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;K.Nishikori;5;5;20;20 (0);20 (0);14,55 %;17,17 %;1;-31;-31;80;;100;;20 [1];;;29 %;100 %;-33;;13 %;33 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;R.Federer;2,6;2,6;39;58 (0);37 (0);41,82 %;31,33 %;8;-28;-32;62;5;95;;37 [5];;2 [1];56 %;95 %;-28;21;25 %;26 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;R.Haase;115;115;1;;;0,36 %;0,43 %;1;11;11;57;;58;;1 [1];;;1 %;100 %;9;;1 %;-24 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;K.Khachanov;17;17;2;2 (0);2 (0);1,45 %;1,72 %;1;35;35;32;;34;;2 [1];;;3 %;100 %;33;;4 %;-55 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;G.Monfils;15;15;2;2 (0);2 (0);1,45 %;1,72 %;1;39;39;28;;30;;2 [1];;;3 %;100 %;37;;4 %;-60 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;D.Medvedev;8;8;;;;;;;69;69;;;;;;;;;;67;;8 %;-100 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;M.Raonic;8;8;;;;;;;69;69;;;;;;;;;;67;;8 %;-100 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;M.Cilic;10;10;;;;;;;69;69;;;;;;;;;;67;;6 %;-100 %;;
Dubai H 2019 - Dubai H;25 févr. 2019 11:05:00;Vainqueur - Suspendu - Match;S.Tsitsipas;11;11;;;;;;;69;69;;;;;;;;;;67;;6 %;-100 %;;
